date,category,commodity,commodity_id,unit,price,usdprice,calories (Kcal),protein (g),carbs (g),fat (g),iron (mg),cluster,PCA1,PCA2
2011-09-15,pulses and nuts,Lentils,108,KG,9.9,1.66,353,25.0,60.0,1.1,7.5,2,-2.6448747999138194,2.7002843821860454
2011-09-15,vegetables and fruits,Garlic,105,KG,9.4,1.58,149,6.4,33.0,0.5,1.7,1,-0.6982922935101096,-1.1783590889855462
2011-09-15,vegetables and fruits,Onions (red),110,KG,2.4,0.4,40,1.1,9.0,0.1,0.2,1,-0.37893238358350034,-1.8906036899285983
2011-09-15,vegetables and fruits,Tomatoes,114,KG,3.0,0.5,18,0.9,3.9,0.2,0.3,1,-0.37094421830372504,-1.8562119410915174
2011-10-15,cereals and tubers,Pasta,112,KG,4.6,0.77,370,13.0,75.0,1.5,1.3,1,-1.0524246565280906,-0.9180300468758895
2011-10-15,cereals and tubers,Potatoes,83,KG,3.4,0.57,77,2.0,17.0,0.1,0.8,1,-0.6515380140186784,-1.5058405072833043
2011-10-15,cereals and tubers,Rice,52,KG,5.0,0.84,360,7.0,80.0,0.6,0.8,1,-0.8602980808667087,-1.291961711863006
2011-10-15,cereals and tubers,Wheat flour,58,KG,4.4,0.74,364,10.0,76.0,1.0,1.2,1,-0.9733786106301096,-1.084163207668229
2011-10-15,"meat, fish and eggs",Meat (beef),141,KG,59.2,9.92,250,26.0,0.0,15.0,2.6,3,-0.2664698897397571,3.2059042600603784
2011-10-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,14.0,2.35,239,27.0,0.0,14.0,1.3,3,-0.676600842518824,1.571279073893874
2011-10-15,miscellaneous food,Sugar,97,KG,6.2,1.04,387,0.0,100.0,0.0,0.1,4,-0.49289109897129574,-1.979998352916613
2011-10-15,oil and fats,Ghee (artificial),106,KG,12.3,2.06,884,0.0,0.0,100.0,0.0,0,3.788008126267518,0.5831040837582865
2011-10-15,oil and fats,Ghee (natural),107,KG,41.2,6.9,883,0.0,0.0,99.8,0.0,0,4.130574592456957,1.4926834162210436
2011-10-15,oil and fats,Oil (maize),362,800 G,11.6,1.94,884,0.0,0.0,100.0,0.0,0,3.7794142345600092,0.5605120263481066
2011-10-15,pulses and nuts,Lentils,108,KG,10.0,1.68,353,25.0,60.0,1.1,7.5,2,-2.6434424846292344,2.704049725087742
2011-10-15,vegetables and fruits,Garlic,105,KG,9.0,1.51,149,6.4,33.0,0.5,1.7,1,-0.7033053970061561,-1.1915377891414844
2011-10-15,vegetables and fruits,Onions (red),110,KG,2.8,0.47,40,1.1,9.0,0.1,0.2,1,-0.3739192800874538,-1.8774249897726598
2011-10-15,vegetables and fruits,Onions (white),111,KG,3.0,0.5,40,1.1,9.0,0.1,0.2,1,-0.37177080716057664,-1.871776975420115
2011-10-15,vegetables and fruits,Tomatoes,114,KG,3.0,0.5,18,0.9,3.9,0.2,0.3,1,-0.37094421830372504,-1.8562119410915174
2011-11-15,cereals and tubers,Pasta,112,KG,4.8,0.8,370,13.0,75.0,1.5,1.3,1,-1.0502761836012136,-0.9123820325233445
2011-11-15,cereals and tubers,Potatoes,83,KG,3.2,0.54,77,2.0,17.0,0.1,0.8,1,-0.6536864869455555,-1.5114885216358491
2011-11-15,cereals and tubers,Rice,52,KG,4.7,0.79,360,7.0,80.0,0.6,0.8,1,-0.8638788690781705,-1.3013750691172477
