date,category,commodity,commodity_id,unit,price,usdprice
2011-10-15,cereals and tubers,Potatoes,83,KG,3.4,0.57
2011-10-15,cereals and tubers,Rice,52,KG,5,0.84
2011-10-15,cereals and tubers,Wheat flour,58,KG,4.4,0.74
2011-10-15,"meat, fish and eggs",Meat (beef),141,KG,59.2,9.92
2011-10-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,14,2.35
2011-10-15,miscellaneous food,Sugar,97,KG,6.2,1.04
2011-10-15,oil and fats,Ghee (artificial),106,KG,12.3,2.06
2011-10-15,oil and fats,Ghee (natural),107,KG,41.2,6.9
2011-10-15,oil and fats,Oil (maize),362,800 G,11.6,1.94
2011-10-15,pulses and nuts,Lentils,108,KG,10,1.68
2011-10-15,vegetables and fruits,Garlic,105,KG,9,1.51
2011-10-15,vegetables and fruits,Onions (red),110,KG,2.8,0.47
2011-10-15,vegetables and fruits,Onions (white),111,KG,3,0.5
2011-10-15,vegetables and fruits,Tomatoes,114,KG,3,0.5
2011-11-15,cereals and tubers,Pasta,112,KG,4.8,0.8
2011-11-15,cereals and tubers,Potatoes,83,KG,3.2,0.54
2011-11-15,cereals and tubers,Rice,52,KG,4.7,0.79
2011-11-15,cereals and tubers,Wheat flour,58,KG,4.4,0.74
2011-11-15,"meat, fish and eggs",Meat (beef),141,KG,59.9,10.02
2011-11-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,14,2.34
2011-11-15,miscellaneous food,Sugar,97,KG,6.3,1.05
2011-11-15,oil and fats,Ghee (artificial),106,KG,12.3,2.06
2011-11-15,oil and fats,Oil (maize),362,800 G,11.7,1.96
2011-11-15,pulses and nuts,"Beans (fava, dry)",385,KG,8.1,1.35
2011-11-15,pulses and nuts,Lentils,108,KG,9.9,1.66
2011-11-15,vegetables and fruits,Garlic,105,KG,9.7,1.62
2011-11-15,vegetables and fruits,Onions (red),110,KG,2.8,0.47
2011-11-15,vegetables and fruits,Onions (white),111,KG,2.9,0.48
2011-11-15,vegetables and fruits,Tomatoes,114,KG,3.4,0.57
2011-12-15,cereals and tubers,Pasta,112,KG,4.8,0.8
2011-12-15,cereals and tubers,Potatoes,83,KG,2.8,0.47
2011-12-15,cereals and tubers,Wheat flour,58,KG,4.3,0.71
2011-12-15,"meat, fish and eggs",Meat (beef),141,KG,60.4,10.03
2011-12-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.3,2.21
2011-12-15,miscellaneous food,Sugar,97,KG,6.1,1.01
2011-12-15,oil and fats,Ghee (artificial),106,KG,12.3,2.04
2011-12-15,oil and fats,Ghee (natural),107,KG,41.1,6.83
2011-12-15,pulses and nuts,Lentils,108,KG,10.2,1.69
2011-12-15,vegetables and fruits,Garlic,105,KG,8,1.33
2011-12-15,vegetables and fruits,Onions (white),111,KG,2.8,0.47
2011-12-15,vegetables and fruits,Tomatoes,114,KG,2.8,0.47
2012-01-15,cereals and tubers,Potatoes,83,KG,2.3,0.38
2012-01-15,cereals and tubers,Rice,52,KG,4.3,0.71
2012-01-15,cereals and tubers,Wheat flour,58,KG,4.7,0.78
2012-01-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.3,2.2
2012-01-15,miscellaneous food,Sugar,97,KG,4.9,0.81
2012-01-15,oil and fats,Ghee (artificial),106,KG,11.8,1.95
