date,category,commodity,commodity_id,unit,price,usdprice,calories (Kcal),protein (g),carbs (g),fat (g),iron (mg)
2011-11-15,vegetables and fruits,Garlic,105,KG,9.7,1.62,149,6.4,33.0,0.5,1.7
2011-11-15,vegetables and fruits,Onions (red),110,KG,2.8,0.47,40,1.1,9.0,0.1,0.2
2011-11-15,vegetables and fruits,Onions (white),111,KG,2.9,0.48,40,1.1,9.0,0.1,0.2
2011-11-15,vegetables and fruits,Tomatoes,114,KG,3.4,0.57,18,0.9,3.9,0.2,0.3
2011-12-15,cereals and tubers,Pasta,112,KG,4.8,0.8,370,13.0,75.0,1.5,1.3
2011-12-15,cereals and tubers,Potatoes,83,KG,2.8,0.47,77,2.0,17.0,0.1,0.8
2011-12-15,cereals and tubers,Wheat flour,58,KG,4.3,0.71,364,10.0,76.0,1.0,1.2
2011-12-15,"meat, fish and eggs",Meat (beef),141,KG,60.4,10.03,250,26.0,0.0,15.0,2.6
2011-12-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.3,2.21,239,27.0,0.0,14.0,1.3
2011-12-15,miscellaneous food,Sugar,97,KG,6.1,1.01,387,0.0,100.0,0.0,0.1
2011-12-15,oil and fats,Ghee (artificial),106,KG,12.3,2.04,884,0.0,0.0,100.0,0.0
2011-12-15,oil and fats,Ghee (natural),107,KG,41.1,6.83,883,0.0,0.0,99.8,0.0
2011-12-15,pulses and nuts,Lentils,108,KG,10.2,1.69,353,25.0,60.0,1.1,7.5
2011-12-15,vegetables and fruits,Garlic,105,KG,8.0,1.33,149,6.4,33.0,0.5,1.7
2011-12-15,vegetables and fruits,Onions (white),111,KG,2.8,0.47,40,1.1,9.0,0.1,0.2
2011-12-15,vegetables and fruits,Tomatoes,114,KG,2.8,0.47,18,0.9,3.9,0.2,0.3
2012-01-15,cereals and tubers,Potatoes,83,KG,2.3,0.38,77,2.0,17.0,0.1,0.8
2012-01-15,cereals and tubers,Rice,52,KG,4.3,0.71,360,7.0,80.0,0.6,0.8
2012-01-15,cereals and tubers,Wheat flour,58,KG,4.7,0.78,364,10.0,76.0,1.0,1.2
2012-01-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,13.3,2.2,239,27.0,0.0,14.0,1.3
2012-01-15,miscellaneous food,Sugar,97,KG,4.9,0.81,387,0.0,100.0,0.0,0.1
2012-01-15,oil and fats,Ghee (artificial),106,KG,11.8,1.95,884,0.0,0.0,100.0,0.0
2012-01-15,oil and fats,Ghee (natural),107,KG,42.1,6.97,883,0.0,0.0,99.8,0.0
2012-01-15,pulses and nuts,"Beans (fava, dry)",385,KG,10.5,1.74,341,26.0,58.0,1.5,6.7
2012-01-15,pulses and nuts,Lentils,108,KG,11.6,1.92,353,25.0,60.0,1.1,7.5
2012-01-15,vegetables and fruits,Garlic,105,KG,8.0,1.32,149,6.4,33.0,0.5,1.7
2012-01-15,vegetables and fruits,Onions (red),110,KG,2.9,0.48,40,1.1,9.0,0.1,0.2
2012-01-15,vegetables and fruits,Onions (white),111,KG,2.3,0.38,40,1.1,9.0,0.1,0.2
2012-01-15,vegetables and fruits,Tomatoes,114,KG,2.2,0.36,18,0.9,3.9,0.2,0.3
2012-02-15,cereals and tubers,Potatoes,83,KG,2.0,0.33,77,2.0,17.0,0.1,0.8
2012-02-15,cereals and tubers,Rice,52,KG,4.5,0.75,360,7.0,80.0,0.6,0.8
2012-02-15,cereals and tubers,Wheat flour,58,KG,4.5,0.75,364,10.0,76.0,1.0,1.2
2012-02-15,"meat, fish and eggs",Meat (beef),141,KG,58.3,9.67,250,26.0,0.0,15.0,2.6
2012-02-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,15.6,2.59,239,27.0,0.0,14.0,1.3
2012-02-15,oil and fats,Ghee (artificial),106,KG,12.1,2.01,884,0.0,0.0,100.0,0.0
2012-02-15,oil and fats,Ghee (natural),107,KG,42.4,7.03,883,0.0,0.0,99.8,0.0
